age,employment_years,annual_income_inr,loan_amount_inr,loan_tenure_months,interest_rate_pct,credit_score,num_existing_loans,dti_ratio,ltv_ratio,has_collateral,bureau_enquiries_6m,missed_payments_2y,savings_account_balance_inr,ltv_ratio_missing,high_missed_payments,app_month,app_quarter,app_days_since_ref,loan_to_income_ratio,dti_credit_risk,income_per_year_employed,monthly_income,emi_burden_ratio,credit_enquiry_risk,repayment_risk_score,loan_to_savings_ratio,savings_buffer_months,loan_per_month,age_employment_gap,credit_band,dti_band,gender_Male,education_Graduate,education_No_Formal,education_Post_Graduate,education_Undergraduate,state_DL,state_GJ,state_KA,state_MH,state_RJ,state_TN,state_TS,state_UP,state_WB,urban_rural_Semi_Urban,urban_rural_Urban,employment_type_Government,employment_type_Retired,employment_type_Salaried,employment_type_Self_Employed,loan_type_Education_Loan,loan_type_Gold_Loan,loan_type_Home_Loan,loan_type_MSME_Loan,loan_type_Personal_Loan
25,17,2674706,1464379,60,8.55,766,1,0.096,0.879,1,8,0,25352,0,0,5,2,147,0.5474913700827791,0.08772845953002611,148594.77777777778,222892.16666666666,0.046810319629957256,7.304030259553933,7.304030259553933,57.759594525302724,0.11374058872748455,24006.213114754097,8,3.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
55,13,1693886,4323158,24,14.73,814,2,0.157,-1.0,0,0,0,181963,1,0,12,4,361,2.5522115701932893,0.13501228501228502,120991.85714285714,141157.16666666666,0.3759383229686794,0.0,0.0,23.758314831505132,1.289071715061946,172926.32,42,4.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
60,11,2360467,1828438,180,15.84,673,4,0.235,-1.0,1,3,1,178376,1,0,6,2,531,0.774608255650998,0.24442793462109955,196705.58333333334,196705.58333333334,0.12269737591395642,3.117114442630251,6.234228885260502,10.250413450164539,0.9068125579596344,10101.867403314916,49,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,3,1189399,630531,60,12.81,664,2,0.448,-1.0,0,7,1,222609,1,0,2,1,415,0.5301252732470153,0.472289156626506,297349.75,99116.58333333333,0.06790841946139728,7.371746652625244,10.531066646607492,2.832446880194061,2.2459082688826655,10336.573770491803,47,1.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
59,10,1497301,2081404,180,10.3,619,0,0.49,-1.0,1,7,0,292507,1,0,9,3,608,1.39010299859347,0.5541195476575121,136118.27272727274,124775.08333333333,0.1431795569797364,7.907051799257705,7.907051799257705,7.115716493224117,2.34425534273729,11499.46961325967,49,0.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
37,28,2462191,4409292,36,20.03,635,0,0.254,-1.0,0,4,0,130709,1,0,12,4,359,1.790799417754586,0.28,84903.13793103448,205182.58333333334,0.35869552088109713,4.404593361648576,4.404593361648576,33.73339453752582,0.6370343956205073,119170.05405405405,9,1.0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
25,30,811151,3446242,48,18.83,675,0,0.118,-1.0,0,4,1,136342,1,0,10,4,664,4.248577331992031,0.12237037037037037,26166.16129032258,67595.91666666667,0.7999962628966063,4.143850821370431,7.251738937398254,25.276266474993214,2.0169854887365424,70331.4693877551,-5,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
32,6,1174505,4772685,240,11.69,618,2,0.113,-1.0,0,7,2,158461,1,0,1,1,12,4.063568002206885,0.12799352750809062,167786.42857142858,97875.41666666667,0.4750266505295368,7.919831905608533,14.708259253272992,30.11879819767515,1.6189906148655149,19803.672199170123,26,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,6,2790944,508360,48,11.43,893,4,0.645,-1.0,0,5,1,444198,1,0,8,3,237,0.182146190627189,0.5055991041433371,398706.28571428574,232578.66666666666,0.02081922753350465,3.9163030099585994,6.266084815933759,1.1444420181044983,1.9098746092736683,10374.69387755102,48,4.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
58,9,327142,3460135,60,19.9,790,1,0.511,-1.0,0,8,5,203020,1,0,11,4,330,10.576827259027398,0.4527848101265823,32714.2,27261.833333333332,2.104717854588359,7.0823321107879105,20.361704818515243,17.04323690652691,7.446768188681784,56723.524590163935,49,3.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
